   0 +0.0000000000000000E+00 +2.0000000000000000E+01 +5.0527483431829337E-14 
   1 +3.0000000000000000E+00 +2.0000000000000000E+01 +3.7895612573871970E-14 
   2 +6.0000000000000000E+00 +2.0000000000000000E+01 +8.2107160576722750E-14 
   3 +9.0000000000000000E+00 +2.0000000000000036E+01 -3.8021931282451559E-13 
   4 +1.2000000000000000E+01 +2.0000000000000160E+01 -2.1322598008231985E-12 
   5 +1.5000000000000000E+01 +2.0000000000000334E+01 -4.6396861661277296E-12 
   6 +1.8000000000000000E+01 +2.0000000000000327E+01 -4.5373680121782754E-12 
   7 +2.1000000000000000E+01 +1.9999999999999790E+01 +3.0265962575665776E-12 
   8 +2.4000000000000000E+01 +1.9999999999998742E+01 +1.7708619755770389E-11 
   9 +2.7000000000000000E+01 +1.9999999999998138E+01 +2.6105024315054633E-11 
  10 +3.0000000000000000E+01 +1.9999999999999762E+01 +3.4421848087933784E-12 
  11 +3.3000000000000000E+01 +2.0000000000004437E+01 -6.2102066698975658E-11 
  12 +3.6000000000000000E+01 +2.0000000000009177E+01 -1.2842823101285222E-10 
  13 +3.9000000000000000E+01 +2.0000000000006068E+01 -8.4996069441937466E-11 
  14 +4.2000000000000000E+01 +1.9999999999987761E+01 +1.7131343257561738E-10 
  15 +4.5000000000000000E+01 +1.9999999999960266E+01 +5.5661581023337529E-10 
  16 +4.8000000000000000E+01 +1.9999999999953584E+01 +6.5032281781895999E-10 
  17 +5.1000000000000000E+01 +2.0000000000010218E+01 -1.4301930504087890E-10 
  18 +5.4000000000000000E+01 +2.0000000000137600E+01 -1.9275855973117157E-09 
  19 +5.7000000000000000E+01 +2.0000000000246640E+01 -3.4550352110171737E-09 
  20 +6.0000000000000000E+01 +2.0000000000148187E+01 -2.0759267095450518E-09 
  21 +6.3000000000000000E+01 +1.9999999999689209E+01 +4.3535616593241384E-09 
  22 +6.6000000000000000E+01 +1.9999999999016428E+01 +1.3778278824045426E-08 
  23 +6.9000000000000000E+01 +1.9999999998767660E+01 +1.7263336202530705E-08 
  24 +7.2000000000000000E+01 +1.9999999999852410E+01 +2.0676288335784584E-09 
  25 +7.5000000000000000E+01 +2.0000000002621491E+01 -3.6723244849983734E-08 
  26 +7.8000000000000000E+01 +2.0000000005747811E+01 -8.0518477969033263E-08 
  27 +8.1000000000000000E+01 +2.0000000005809401E+01 -8.1381353488217816E-08 
  28 +8.4000000000000000E+01 +1.9999999998789210E+01 +1.6961594913785403E-08 
  29 +8.7000000000000000E+01 +1.9999999983892089E+01 +2.2564894379684115E-07 
  30 +9.0000000000000000E+01 +1.9999999968170346E+01 +4.4588806405146085E-07 
  31 +9.3000000000000000E+01 +1.9999999968236413E+01 +4.4496258245392996E-07 
  32 +9.6000000000000000E+01 +2.0000000004334041E+01 -6.0713573980643074E-08 
  33 +9.9000000000000000E+01 +2.0000000083997048E+01 -1.1766783788718584E-06 
  34 +1.0200000000000000E+02 +2.0000000178768765E+01 -2.5042944066121386E-06 
  35 +1.0500000000000000E+02 +2.0000000207583657E+01 -2.9079497191257050E-06 
  36 +1.0800000000000000E+02 +2.0000000050202875E+01 -7.0327016601368105E-07 
  37 +1.1100000000000000E+02 +1.9999999614176257E+01 +5.4048384160725822E-06 
  38 +1.1400000000000000E+02 +1.9999998957627380E+01 +1.4602148084779604E-05 
  39 +1.1700000000000000E+02 +1.9999998423023719E+01 +2.2091179279313006E-05 
  40 +1.2000000000000000E+02 +1.9999998676264148E+01 +1.8543643919757516E-05 
  41 +1.2300000000000000E+02 +2.0000000501357217E+01 -7.0232968520637555E-06 
  42 +1.2600000000000000E+02 +2.0000004211655774E+01 -5.8999279032276616E-05 
  43 +1.2900000000000000E+02 +2.0000008639953759E+01 -1.2103343013526077E-04 
  44 +1.3200000000000000E+02 +2.0000009902026353E+01 -1.3871328278330307E-04 
  45 +1.3500000000000000E+02 +2.0000000526919184E+01 -7.3813987695656429E-06 
  46 +1.3800000000000000E+02 +1.9999970050797305E+01 +4.1954502156108387E-04 
  47 +1.4100000000000000E+02 +1.9999908427217797E+01 +1.2827993073010980E-03 
  48 +1.4400000000000000E+02 +1.9999812881527504E+01 +2.6212436623129377E-03 
  49 +1.4700000000000000E+02 +1.9999695920168204E+01 +4.2596742801202306E-03 
  50 +1.5000000000000000E+02 +1.9999586187191955E+01 +5.7968313939416776E-03 
  51 +1.5300000000000000E+02 +1.9999504865972138E+01 +6.9359601949170388E-03 
  52 +1.5600000000000000E+02 +1.9999394505487274E+01 +8.4815786047316658E-03 
  53 +1.5900000000000000E+02 +1.9998728488206741E+01 +1.7810842068963158E-02 
  54 +1.6200000000000000E+02 +1.9995270516498898E+01 +6.6241436501929402E-02 
  55 +1.6500000000000000E+02 +1.9986916490856814E+01 +1.8319130235077835E-01 
  56 +1.6800000000000000E+02 +1.9973201858312187E+01 +3.7502649745956401E-01 
  57 +1.7100000000000000E+02 +1.9954001259694223E+01 +6.4326515537990692E-01 
  58 +1.7400000000000000E+02 +1.9929429765472268E+01 +9.8597093822430926E-01 
  59 +1.7700000000000000E+02 +1.9899965687522545E+01 +1.3960766585014208E+00 
  60 +1.8000000000000000E+02 +1.9866493035509983E+01 +1.8608674330053481E+00 
  61 +1.8300000000000000E+02 +1.9830127101859425E+01 +2.3644949433736895E+00 
  62 +1.8600000000000000E+02 +1.9791920084166030E+01 +2.8921166116300894E+00 
  63 +1.8900000000000000E+02 +1.9752638273787802E+01 +3.4329735010426057E+00 
  64 +1.9200000000000000E+02 +1.9712716460708609E+01 +3.9809709494677059E+00 
